,Dzień tygodnia,Pierwsze czytanie,Psalm,Werset przed Ewangelią,Ewangelia
2018-12-20,Thursday,"The LORD spoke to Ahaz:Ask for a sign from the LORD, your God;let it be deep as the nether world, or high as the sky!But Ahaz answered,""I will not ask! I will not tempt the LORD!"" Then Isaiah said:Listen, O house of David! Is it not enough for you to weary men,must you also weary my God? Therefore the Lord himself will give you this sign:the virgin shall conceive and bear a son,and shall name him Emmanuel.","R.  Let the Lord enter; he is the king of glory.The LORD's are the earth and its fullness;the world and those who dwell in it.For he founded it upon the seasand established it upon the rivers.R. Let the Lord enter; he is the king of glory.Who can ascend the mountain of the LORD?or who may stand in his holy place?He whose hands are sinless, whose heart is clean,who desires not what is vain.R. Let the Lord enter; he is the king of glory.He shall receive a blessing from the LORD,a reward from God his savior.Such is the race that seeks for him,that seeks the face of the God of Jacob.R. Let the Lord enter; he is the king of glory.","R. Alleluia, alleluia.O Key of David,opening the gates of God's eternal Kingdom:come and free the prisoners of darkness!R. Alleluia, alleluia.","In the sixth month,the angel Gabriel was sent from Godto a town of Galilee called Nazareth,to a virgin betrothed to a man named Joseph,of the house of David,and the virgin's name was Mary.And coming to her, he said,""Hail, full of grace! The Lord is with you.""But she was greatly troubled at what was saidand pondered what sort of greeting this might be.Then the angel said to her,""Do not be afraid, Mary,for you have found favor with God.Behold, you will conceive in your womb and bear a son,and you shall name him Jesus.He will be great and will be called Son of the Most High,and the Lord God will give him the throne of David his father,and he will rule over the house of Jacob forever,and of his Kingdom there will be no end.""But Mary said to the angel,""How can this be,since I have no relations with a man?""And the angel said to her in reply,""The Holy Spirit will come upon you,and the power of the Most High will overshadow you.Therefore the child to be bornwill be called holy, the Son of God.And behold, Elizabeth, your relative,has also conceived a son in her old age,and this is the sixth month for her who was called barren;for nothing will be impossible for God.""Mary said, ""Behold, I am the handmaid of the Lord.May it be done to me according to your word.""Then the angel departed from her."
2018-12-19,Wednesday,"There was a certain man from Zorah, of the clan of the Danites,whose name was Manoah. His wife was barren and had borne no children. An angel of the LORD appeared to the woman and said to her,""Though you are barren and have had no children,yet you will conceive and bear a son. Now, then, be careful to take no wine or strong drinkand to eat nothing unclean.As for the son you will conceive and bear,no razor shall touch his head,for this boy is to be consecrated to God from the womb. It is he who will begin the deliverance of Israelfrom the power of the Philistines.""The woman went and told her husband,""A man of God came to me;he had the appearance of an angel of God, terrible indeed. I did not ask him where he came from, nor did he tell me his name. But he said to me,'You will be with child and will bear a son. So take neither wine nor strong drink, and eat nothing unclean. For the boy shall be consecrated to God from the womb,until the day of his death.'""The woman bore a son and named him Samson. The boy grew up and the LORD blessed him;the Spirit of the LORD stirred him.","R.  My mouth shall be filled with your praise, and I will sing your glory!Be my rock of refuge,a stronghold to give me safety,for you are my rock and my fortress.O my God, rescue me from the hand of the wicked. R. My mouth shall be filled with your praise, and I will sing your glory!For you are my hope, O LORD;my trust, O God, from my youth.On you I depend from birth;from my mother's womb you are my strength. R. My mouth shall be filled with your praise, and I will sing your glory!I will treat of the mighty works of the LORD;O God, I will tell of your singular justice.O God, you have taught me from my youth,and till the present I proclaim your wondrous deeds.R. My mouth shall be filled with your praise, and I will sing your glory!","R. Alleluia, alleluia.O Root of Jesse's stem,sign of God's love for all his people:come to save us without delay!R. Alleluia, alleluia.","In the days of Herod, King of Judea,there was a priest named Zechariahof the priestly division of Abijah;his wife was from the daughters of Aaron,and her name was Elizabeth. Both were righteous in the eyes of God,observing all the commandmentsand ordinances of the Lord blamelessly. But they had no child, because Elizabeth was barrenand both were advanced in years. Once when he was serving as priestin his division's turn before God,according to the practice of the priestly service,he was chosen by lotto enter the sanctuary of the Lord to burn incense. Then, when the whole assembly of the people was praying outsideat the hour of the incense offering,the angel of the Lord appeared to him,standing at the right of the altar of incense. Zechariah was troubled by what he saw, and fear came upon him. But the angel said to him, ""Do not be afraid, Zechariah,because your prayer has been heard. Your wife Elizabeth will bear you a son,and you shall name him John. And you will have joy and gladness,and many will rejoice at his birth,for he will be great in the sight of the Lord. He will drink neither wine nor strong drink. He will be filled with the Holy Spirit even from his mother's womb,and he will turn many of the children of Israelto the Lord their God. He will go before him in the spirit and power of Elijahto turn the hearts of fathers toward childrenand the disobedient to the understanding of the righteous,to prepare a people fit for the Lord."" Then Zechariah said to the angel,""How shall I know this? For I am an old man, and my wife is advanced in years."" And the angel said to him in reply,""I am Gabriel, who stand before God.I was sent to speak to you and to announce to you this good news. But now you will be speechless and unable to talkuntil the day these things take place,because you did not believe my words,which will be fulfilled at their proper time.""Meanwhile the people were waiting for Zechariahand were amazed that he stayed so long in the sanctuary. But when he came out, he was unable to speak to them,and they realized that he had seen a vision in the sanctuary. He was gesturing to them but remained mute.Then, when his days of ministry were completed, he went home. After this time his wife Elizabeth conceived,and she went into seclusion for five months, saying,""So has the Lord done for me at a time when he has seen fitto take away my disgrace before others."""
2018-12-18,Tuesday,"Behold, the days are coming, says the LORD,when I will raise up a righteous shoot to David;As king he shall reign and govern wisely,he shall do what is just and right in the land.In his days Judah shall be saved,Israel shall dwell in security.This is the name they give him:“The LORD our justice.”Therefore, the days will come, says the LORD,when they shall no longer say, “As the LORD lives,who brought the children of Israel out of the land of Egypt”;but rather, ""As the LORD lives,who brought the descendants of the house of Israelup from the land of the north”– and from all the lands to which I banished them;they shall again live on their own land.","R.  Justice shall flourish in his time, and fullness of peace for ever.O God, with your judgment endow the king,and with your justice, the king’s son;He shall govern your people with justiceand your afflicted ones with judgment.R. Justice shall flourish in his time, and fullness of peace for ever.For he shall rescue the poor when he cries out,and the afflicted when he has no one to help him.He shall have pity for the lowly and the poor;the lives of the poor he shall save.R. Justice shall flourish in his time, and fullness of peace for ever.Blessed be the LORD, the God of Israel,who alone does wondrous deeds.And blessed forever be his glorious name;may the whole earth be filled with his glory.R. Justice shall flourish in his time, and fullness of peace for ever.","R. Alleluia, alleluia.O Leader of the House of Israel,giver of the Law to Moses on Sinai:come to rescue us with your mighty power!R. Alleluia, alleluia.","This is how the birth of Jesus Christ came about. When his mother Mary was betrothed to Joseph,but before they lived together,she was found with child through the Holy Spirit. Joseph her husband, since he was a righteous man,yet unwilling to expose her to shame,decided to divorce her quietly. Such was his intention when, behold,the angel of the Lord appeared to him in a dream and said, “Joseph, son of David,do not be afraid to take Mary your wife into your home. For it is through the Holy Spiritthat this child has been conceived in her. She will bear a son and you are to name him Jesus,because he will save his people from their sins.” All this took place to fulfillwhat the Lord had said through the prophet:Behold, the virgin shall be with child and bear a son,and they shall name him Emmanuel,which means “God is with us.” When Joseph awoke,he did as the angel of the Lord had commanded himand took his wife into his home. He had no relations with her until she bore a son,and he named him Jesus."
2018-12-17,Monday,"Jacob called his sons and said to them:“Assemble and listen, sons of Jacob,listen to Israel, your father.“You, Judah, shall your brothers praise–your hand on the neck of your enemies;the sons of your father shall bow down to you.Judah, like a lion’s whelp,you have grown up on prey, my son.He crouches like a lion recumbent,the king of beasts–who would dare rouse him?The scepter shall never depart from Judah,or the mace from between his legs,While tribute is brought to him,and he receives the people’s homage.”","R.  Justice shall flourish in his time, and fullness of peace for ever.O God, with your judgment endow the king,and with your justice, the king’s son;He shall govern your people with justiceand your afflicted ones with judgment. R. Justice shall flourish in his time, and fullness of peace for ever.The mountains shall yield peace for the people,and the hills justice.He shall defend the afflicted among the people,save the children of the poor.R. Justice shall flourish in his time, and fullness of peace for ever.Justice shall flower in his days,and profound peace, till the moon be no more.May he rule from sea to sea,and from the River to the ends of the earth.R. Justice shall flourish in his time, and fullness of peace for ever.May his name be blessed forever;as long as the sun his name shall remain.In him shall all the tribes of the earth be blessed;all the nations shall proclaim his happiness. R. Justice shall flourish in his time, and fullness of peace for ever.","R. Alleluia, alleluia.O Wisdom of our God Most High,guiding creation with power and love:come to teach us the path of knowledge!R. Alleluia, alleluia.","The book of the genealogy of Jesus Christ,the son of David, the son of Abraham.Abraham became the father of Isaac,Isaac the father of Jacob,Jacob the father of Judah and his brothers. Judah became the father of Perez and Zerah,whose mother was Tamar. Perez became the father of Hezron,Hezron the father of Ram,Ram the father of Amminadab. Amminadab became the father of Nahshon,Nahshon the father of Salmon,Salmon the father of Boaz,whose mother was Rahab. Boaz became the father of Obed,whose mother was Ruth. Obed became the father of Jesse,Jesse the father of David the king.David became the father of Solomon,whose mother had been the wife of Uriah. Solomon became the father of Rehoboam,Rehoboam the father of Abijah,Abijah the father of Asaph. Asaph became the father of Jehoshaphat,Jehoshaphat the father of Joram,Joram the father of Uzziah. Uzziah became the father of Jotham,Jotham the father of Ahaz,Ahaz the father of Hezekiah. Hezekiah became the father of Manasseh,Manasseh the father of Amos,Amos the father of Josiah.Josiah became the father of Jechoniah and his brothersat the time of the Babylonian exile.After the Babylonian exile,Jechoniah became the father of Shealtiel,Shealtiel the father of Zerubbabel,Zerubbabel the father of Abiud. Abiud became the father of Eliakim,Eliakim the father of Azor,Azor the father of Zadok. Zadok became the father of Achim,Achim the father of Eliud,Eliud the father of Eleazar. Eleazar became the father of Matthan,Matthan the father of Jacob,Jacob the father of Joseph, the husband of Mary. Of her was born Jesus who is called the Christ.Thus the total number of generationsfrom Abraham to Davidis fourteen generations;from David to the Babylonian exile, fourteen generations;from the Babylonian exile to the Christ,fourteen generations."
2018-12-16,Sunday,"Shout for joy, O daughter Zion!Sing joyfully, O Israel!Be glad and exult with all your heart,O daughter Jerusalem!The LORD has removed the judgment against youhe has turned away your enemies;the King of Israel, the LORD, is in your midst,you have no further misfortune to fear.On that day, it shall be said to Jerusalem:Fear not, O Zion, be not discouraged!The LORD, your God, is in your midst,a mighty savior;he will rejoice over you with gladness,and renew you in his love,he will sing joyfully because of you,as one sings at festivals.","R.  Cry out with joy and gladness: for among you is the great and Holy One of Israel.God indeed is my savior;I am confident and unafraid.My strength and my courage is the LORD,and he has been my savior.With joy you will draw waterat the fountain of salvation.R. Cry out with joy and gladness: for among you is the great and Holy One of Israel.Give thanks to the LORD, acclaim his name;among the nations make known his deeds,proclaim how exalted is his name.R. Cry out with joy and gladness: for among you is the great and Holy One of Israel.Sing praise to the LORD for his glorious achievement;let this be known throughout all the earth.Shout with exultation, O city of Zion,for great in your midstis the Holy One of Israel!R. Cry out with joy and gladness: for among you is the great and Holy One of Israel.","Brothers and sisters:Rejoice in the Lord always.I shall say it again: rejoice!Your kindness should be known to all.The Lord is near.Have no anxiety at all, but in everything, by prayer and petition, with thanksgiving, make your requests known to God.Then the peace of God that surpasses all understanding will guard your hearts and minds in Christ Jesus.AlleluiaIs 61:1 R. Alleluia, alleluia.The Spirit of the Lord isupon me,because he has anointed meto bring glad tidings tothe poor.R. Alleluia, alleluia.","The crowds asked John the Baptist,“What should we do?”He said to them in reply,“Whoever has two cloaksshould share with the person who has none. And whoever has food should do likewise.”Even tax collectors came to be baptized and they said to him,“Teacher, what should we do?”He answered them, “Stop collecting more than what is prescribed.”Soldiers also asked him,“And what is it that we should do?”He told them,“Do not practice extortion, do not falsely accuse anyone, and be satisfied with your wages.”Now the people were filled with expectation, and all were asking in their hearts whether John might be the Christ.John answered them all, saying, “I am baptizing you with water,but one mightier than I is coming.I am not worthy to loosen the thongs of his sandals.He will baptize you with the Holy Spirit and fire.His winnowing fan is in his hand to clear his threshing floorand to gather the wheat into his barn, but the chaff he will burn with unquenchable fire.”Exhorting them in many other ways, he preached good news to the people."
2018-12-15,Saturday,"In those days,like a fire there appeared the prophet Elijahwhose words were as a flaming furnace.Their staff of bread he shattered,in his zeal he reduced them to straits;By the Lord's word he shut up the heavensand three times brought down fire.How awesome are you, Elijah, in your wondrous deeds!Whose glory is equal to yours?You were taken aloft in a whirlwind of fire,in a chariot with fiery horses.You were destined, it is written, in time to cometo put an end to wrath before the day of the LORD,To turn back the hearts of fathers toward their sons,and to re-establish the tribes of Jacob.Blessed is he who shall have seen you and who falls asleep in your friendship.","R.  Lord, make us turn to you; let us see your face and we shall be saved.O shepherd of Israel, hearken,From your throne upon the cherubim, shine forth.Rouse your power.R. Lord, make us turn to you; let us see your face and we shall be saved.Once again, O LORD of hosts,look down from heaven, and see;Take care of this vine,and protect what your right hand has plantedthe son of man whom you yourself made strong.R. Lord, make us turn to you; let us see your face and we shall be saved.May your help be with the man of your right hand,with the son of man whom you yourself made strong.Then we will no more withdraw from you;give us new life, and we will call upon your name.R. Lord, make us turn to you; let us see your face and we shall be saved.","R. Alleluia, alleluia.Prepare the way of the Lord, make straight his paths:All flesh shall see the salvation of God.R. Alleluia, alleluia.","As they were coming down from the mountain,the disciples asked Jesus,""Why do the scribes say that Elijah must come first?""He said in reply, ""Elijah will indeed come and restore all things;but I tell you that Elijah has already come,and they did not recognize him but did to him whatever they pleased. So also will the Son of Man suffer at their hands.""Then the disciples understoodthat he was speaking to them of John the Baptist."
2018-12-14,Friday,"Thus says the LORD, your redeemer,the Holy One of Israel:I, the LORD, your God,teach you what is for your good,and lead you on the way you should go.If you would hearken to my commandments,your prosperity would be like a river,and your vindication like the waves of the sea;Your descendants would be like the sand,and those born of your stock like its grains,Their name never cut offor blotted out from my presence.","R.  Those who follow you, Lord, will have the light of life.Blessed the man who follows notthe counsel of the wickedNor walks in the way of sinners,nor sits in the company of the insolent,But delights in the law of the LORDand meditates on his law day and night.R. Those who follow you, Lord, will have the light of life.He is like a treeplanted near running water,That yields its fruit in due season,and whose leaves never fade.Whatever he does, prospers.R. Those who follow you, Lord, will have the light of life.Not so the wicked, not so;they are like chaff which the wind drives away.For the LORD watches over the way of the just,but the way of the wicked vanishes.R. Those who follow you, Lord, will have the light of life.","R. Alleluia, alleluia.The Lord will come; go out to meet him!He is the prince of peace.R. Alleluia, alleluia.","Jesus said to the crowds:""To what shall I compare this generation? It is like children who sit in marketplaces and call to one another,'We played the flute for you, but you did not dance,we sang a dirge but you did not mourn.' For John came neither eating nor drinking, and they said,'He is possessed by a demon.' The Son of Man came eating and drinking and they said,'Look, he is a glutton and a drunkard,a friend of tax collectors and sinners.' But wisdom is vindicated by her works."""
2018-12-13,Thursday,"I am the LORD, your God,who grasp your right hand;It is I who say to you, ""Fear not,I will help you.""Fear not, O worm Jacob,O maggot Israel;I will help you, says the LORD;your redeemer is the Holy One of Israel.I will make of you a threshing sledge,sharp, new, and double-edged,To thresh the mountains and crush them,to make the hills like chaff.When you winnow them, the wind shall carry them offand the storm shall scatter them.But you shall rejoice in the LORD,and glory in the Holy One of Israel.The afflicted and the needy seek water in vain,their tongues are parched with thirst.I, the LORD, will answer them;I, the God of Israel, will not forsake them.I will open up rivers on the bare heights,and fountains in the broad valleys;I will turn the desert into a marshland,and the dry ground into springs of water.I will plant in the desert the cedar,acacia, myrtle, and olive;I will set in the wasteland the cypress,together with the plane tree and the pine,That all may see and know,observe and understand,That the hand of the LORD has done this,the Holy One of Israel has created it.","R.  The Lord is gracious and merciful; slow to anger, and of great kindness.I will extol you, O my God and King,and I will bless your name forever and ever.The LORD is good to alland compassionate toward all his works.R. The Lord is gracious and merciful; slow to anger, and of great kindness.Let all your works give you thanks, O LORD,and let your faithful ones bless you.Let them discourse of the glory of your Kingdomand speak of your might.R. The Lord is gracious and merciful; slow to anger, and of great kindness.Let them make known to men your mightand the glorious splendor of your Kingdom.Your Kingdom is a Kingdom for all ages,and your dominion endures through all generations.R. The Lord is gracious and merciful; slow to anger, and of great kindness.","R. Alleluia, alleluia.Let the clouds rain down the Just One,and the earth bring forth a Savior.R. Alleluia, alleluia.","Jesus said to the crowds:""Amen, I say to you,among those born of womenthere has been none greater than John the Baptist;yet the least in the Kingdom of heaven is greater than he. From the days of John the Baptist until now,the Kingdom of heaven suffers violence,and the violent are taking it by force. All the prophets and the law prophesied up to the time of John. And if you are willing to accept it,he is Elijah, the one who is to come. Whoever has ears ought to hear."""
2018-12-12,Wednesday,"Sing and rejoice, O daughter Zion! See, I am coming to dwell among you, says the LORD.Many nations shall join themselves to the LORD on that day,and they shall be his people,and he will dwell among you,and you shall know that the LORD of hosts has sent me to you.The LORD will possess Judah as his portion in the holy land,and he will again choose Jerusalem.Silence, all mankind, in the presence of the LORD!For he stirs forth from his holy dwelling.or Rv 11:19a; 12:1-6a, 10abGod's temple in heaven was opened,and the ark of his covenant could be seen in the temple.A great sign appeared in the sky, a woman clothed with the sun,with the moon under her feet,and on her head a crown of twelve stars.She was with child and wailed aloud in pain as she labored to give birth.Then another sign appeared in the sky;it was a huge red dragon, with seven heads and ten horns,and on its heads were seven diadems.Its tail swept away a third of the stars in the skyand hurled them down to the earth.Then the dragon stood before the woman about to give birth,to devour her child when she gave birth. She gave birth to a son, a male child,destined to rule all the nations with an iron rod.Her child was caught up to God and his throne.The woman herself fled into the desertwhere she had a place prepared by God.Then I heard a loud voice in heaven say:""Now have salvation and power come,and the Kingdom of our Godand the authority of his Anointed.""","R.  You are the highest honor of our race.Blessed are you, daughter, by the Most High God,above all the women on earth;and blessed be the LORD God, the creator of heaven and earth.R. You are the highest honor of our race.Your deed of hope will never be forgottenby those who tell of the might of God.R. You are the highest honor of our race.","R. Alleluia, alleluia.Blessed are you, holy Virgin Mary, deserving of all praise;from you rose the sun of justice, Christ our God.R. Alleluia, alleluia.","The angel Gabriel was sent from Godto a town of Galilee called Nazareth,to a virgin betrothed to a man named Joseph,of the house of David,and the virgin's name was Mary.And coming to her, he said,""Hail, full of grace! The Lord is with you.""But she was greatly troubled at what was saidand pondered what sort of greeting this might be.Then the angel said to her,""Do not be afraid, Mary,for you have found favor with God.Behold, you will conceive in your womb and bear a son,and you shall name him Jesus.He will be great and will be called Son of the Most High,and the Lord God will give him the throne of David his father,and he will rule over the house of Jacob forever,and of his Kingdom there will be no end.""But Mary said to the angel,""How can this be,since I have no relations with a man?""And the angel said to her in reply,""The Holy Spirit will come upon you,and the power of the Most High will overshadow you.Therefore the child to be bornwill be called holy, the Son of God.And behold, Elizabeth, your relative,has also conceived a son in her old age,and this is the sixth month for her who was called barren;for nothing will be impossible for God.""Mary said, ""Behold, I am the handmaid of the Lord.May it be done to me according to your word.""Then the angel departed from her.or Lk 1:39-47Mary set outand traveled to the hill country in hasteto a town of Judah,where she entered the house of Zechariahand greeted Elizabeth.When Elizabeth heard Mary's greeting,the infant leaped in her womb,and Elizabeth, filled with the Holy Spirit,cried out in a loud voice and said,""Most blessed are you among women,and blessed is the fruit of your womb.And how does this happen to me,that the mother of my Lord should come to me?For at the moment the sound of your greeting reached my ears,the infant in my womb leaped for joy.Blessed are you who believedthat what was spoken to you by the Lordwould be fulfilled.""And Mary said:""My soul proclaims the greatness of the Lord;my spirit rejoices in God my savior."""
2018-12-11,Tuesday,"Comfort, give comfort to my people,says your God.Speak tenderly to Jerusalem, and proclaim to herthat her service is at an end,her guilt is expiated;Indeed, she has received from the hand of the LORDdouble for all her sins.A voice cries out:In the desert prepare the way of the LORD!Make straight in the wasteland a highway for our God!Every valley shall be filled in,every mountain and hill shall be made low;The rugged land shall be made a plain,the rough country, a broad valley.Then the glory of the LORD shall be revealed,and all people shall see it together;for the mouth of the LORD has spoken.A voice says, ""Cry out!""I answer, ""What shall I cry out?""""All flesh is grass,and all their glory like the flower of the field.The grass withers, the flower wilts,when the breath of the LORD blows upon it.So then, the people is the grass.Though the grass withers and the flower wilts,the word of our God stands forever.""Go up onto a high mountain,Zion, herald of glad tidings;Cry out at the top of your voice,Jerusalem, herald of good news!Fear not to cry outand say to the cities of Judah:Here is your God!Here comes with powerthe Lord GOD,who rules by his strong arm;Here is his reward with him,his recompense before him.Like a shepherd he feeds his flock;in his arms he gathers the lambs,Carrying them in his bosom,and leading the ewes with care.","R.  The Lord our God comes with power.Sing to the LORD a new song;sing to the LORD, all you lands.Sing to the LORD; bless his name;announce his salvation, day after day.R. The Lord our God comes with power.Tell his glory among the nations;among all peoples, his wondrous deeds.Say among the nations: The LORD is king;he governs the peoples with equity.R. The Lord our God comes with power.Let the heavens be glad and the earth rejoice;let the sea and what fills it resound;let the plains be joyful and all that is in them!Then let all the trees of the forest rejoice.R. The Lord our God comes with power.They shall exult before the LORD, for he comes;for he comes to rule the earth.He shall rule the world with justiceand the peoples with his constancy.R. The Lord our God comes with power.","R. Alleluia, alleluia.The day of the Lord is near:Behold, he comes to save us.R. Alleluia, alleluia.","Jesus said to his disciples:""What is your opinion? If a man has a hundred sheep and one of them goes astray,will he not leave the ninety-nine in the hillsand go in search of the stray? And if he finds it, amen, I say to you, he rejoices more over itthan over the ninety-nine that did not stray. In just the same way, it is not the will of your heavenly Fatherthat one of these little ones be lost."""
2018-12-10,Monday,"The desert and the parched land will exult;the steppe will rejoice and bloom.They will bloom with abundant flowers,and rejoice with joyful song.The glory of Lebanon will be given to them,the splendor of Carmel and Sharon;They will see the glory of the LORD,the splendor of our God.Strengthen the hands that are feeble,make firm the knees that are weak,Say to those whose hearts are frightened:Be strong, fear not!Here is your God,he comes with vindication;With divine recompensehe comes to save you.Then will the eyes of the blind be opened,the ears of the deaf be cleared;Then will the lame leap like a stag,then the tongue of the mute will sing.Streams will burst forth in the desert,and rivers in the steppe.The burning sands will become pools,and the thirsty ground, springs of water;The abode where jackals lurkwill be a marsh for the reed and papyrus.A highway will be there,called the holy way;No one unclean may pass over it,nor fools go astray on it.No lion will be there,nor beast of prey go up to be met upon it.It is for those with a journey to make,and on it the redeemed will walk.Those whom the LORD has ransomed will returnand enter Zion singing,crowned with everlasting joy;They will meet with joy and gladness,sorrow and mourning will flee.","R.  Our God will come to save us!I will hear what God proclaims;the LORD –for he proclaims peace to his people.Near indeed is his salvation to those who fear him,glory dwelling in our land.R. Our God will come to save us!Kindness and truth shall meet;justice and peace shall kiss.Truth shall spring out of the earth,and justice shall look down from heaven.R. Our God will come to save us!The LORD himself will give his benefits;our land shall yield its increase.Justice shall walk before him,and salvation, along the way of his steps.R. Our God will come to save us!","R. Alleluia, alleluia.Behold the king will come, the Lord of the earth,and he himself will lift the yoke of our captivity.R. Alleluia, alleluia.","One day as Jesus was teaching,Pharisees and teachers of the law,who had come from every village of Galilee and Judea and Jerusalem,were sitting there,and the power of the Lord was with him for healing. And some men brought on a stretcher a man who was paralyzed;they were trying to bring him in and set him in his presence. But not finding a way to bring him in because of the crowd,they went up on the roofand lowered him on the stretcher through the tilesinto the middle in front of Jesus. When Jesus saw their faith, he said,""As for you, your sins are forgiven."" Then the scribes and Pharisees began to ask themselves,""Who is this who speaks blasphemies? Who but God alone can forgive sins?"" Jesus knew their thoughts and said to them in reply,""What are you thinking in your hearts? Which is easier, to say, 'Your sins are forgiven,'or to say, 'Rise and walk'? But that you may knowthat the Son of Man has authority on earth to forgive sins""–he said to the one who was paralyzed,""I say to you, rise, pick up your stretcher, and go home."" He stood up immediately before them,picked up what he had been lying on,and went home, glorifying God. Then astonishment seized them all and they glorified God,and, struck with awe, they said,""We have seen incredible things today."""
2018-12-09,Sunday,"Jerusalem, take off your robe of mourning and misery;put on the splendor of glory from God forever:wrapped in the cloak of justice from God,bear on your head the mitrethat displays the glory of the eternal name.For God will show all the earth your splendor:you will be named by God foreverthe peace of justice, the glory of God’s worship.Up, Jerusalem! stand upon the heights;look to the east and see your childrengathered from the east and the westat the word of the Holy One,rejoicing that they are remembered by God.Led away on foot by their enemies they left you:but God will bring them back to youborne aloft in glory as on royal thrones.For God has commandedthat every lofty mountain be made low,and that the age-old depths and gorgesbe filled to level ground,that Israel may advance secure in the glory of God.The forests and every fragrant kind of treehave overshadowed Israel at God’s command;for God is leading Israel in joyby the light of his glory,with his mercy and justice for company..","R.  The Lord has done great things for us; we are filled with joy.When the LORD brought back the captives of Zion,we were like men dreaming.Then our mouth was filled with laughter,and our tongue with rejoicing. R. The Lord has done great things for us; we are filled with joy.Then they said among the nations,""The LORD has done great things for them.""The LORD has done great things for us;we are glad indeed. R. The Lord has done great things for us; we are filled with joy.Restore our fortunes, O LORD,like the torrents in the southern desert.Those who sow in tearsshall reap rejoicing. R. The Lord has done great things for us; we are filled with joy.Although they go forth weeping,carrying the seed to be sown,They shall come back rejoicing,carrying their sheaves.R. The Lord has done great things for us; we are filled with joy.","Brothers and sisters:I pray always with joy in my every prayer for all of you, because of your partnership for the gospel from the first day until now.I am confident of this,that the one who began a good work in youwill continue to complete it until the day of Christ Jesus.God is my witness, how I long for all of you with the affection of Christ Jesus.And this is my prayer:that your love may increase ever more and more in knowledge and every kind of perception, to discern what is of value, so that you may be pure and blameless for the day of Christ, filled with the fruit of righteousness that comes through Jesus Christ for the glory and praise of God.Alleluia Lk 3:4, 6R. Alleluia, alleluia.Prepare the way of the Lord, make straight his paths:all flesh shall see the salvation of God.R. Alleluia, alleluia.","In the fifteenth year of the reign of Tiberius Caesar, when Pontius Pilate was governor of Judea, and Herod was tetrarch of Galilee,and his brother Philip tetrarch of the regionof Ituraea and Trachonitis, and Lysanias was tetrarch of Abilene, during the high priesthood of Annas and Caiaphas, the word of God came to John the son of Zechariah in the desert.John went throughout the whole region of the Jordan, proclaiming a baptism of repentance for the forgiveness of sins, as it is written in the book of the words of the prophet Isaiah:A voice of one crying out in the desert:“Prepare the way of the Lord,make straight his paths.Every valley shall be filledand every mountain and hill shall be made low.The winding roads shall be made straight,and the rough ways made smooth,and all flesh shall see the salvation of God.”"
2018-12-08,Saturday,"After the man, Adam, had eaten of the tree,the LORD God called to the man and asked him, ""Where are you?""He answered, ""I heard you in the garden;but I was afraid, because I was naked,so I hid myself.""Then he asked, ""Who told you that you were naked?You have eaten, then,from the tree of which I had forbidden you to eat!""The man replied, ""The woman whom you put here with me--she gave me fruit from the tree, and so I ate it.""The LORD God then asked the woman,""Why did you do such a thing?""The woman answered, ""The serpent tricked me into it, so I ate it.""Then the LORD God said to the serpent:""Because you have done this, you shall be bannedfrom all the animalsand from all the wild creatures;on your belly shall you crawl,and dirt shall you eatall the days of your life.I will put enmity between you and the woman,and between your offspring and hers;he will strike at your head,while you strike at his heel.""The man called his wife Eve,because she became the mother of all the living.","R.  Sing to the Lord a new song, for he has done marvelous deeds.Sing to the LORD a new song,for he has done wondrous deeds;His right hand has won victory for him,his holy arm.R. Sing to the Lord a new song, for he has done marvelous deeds.The LORD has made his salvation known:in the sight of the nations he has revealed his justice.He has remembered his kindness and his faithfulnesstoward the house of Israel.R. Sing to the Lord a new song, for he has done marvelous deeds.All the ends of the earth have seenthe salvation by our God.Sing joyfully to the LORD, all you lands;break into song; sing praise.R. Sing to the Lord a new song, for he has done marvelous deeds.","Brothers and sisters:Blessed be the God and Father of our Lord Jesus Christ,who has blessed us in Christwith every spiritual blessing in the heavens,as he chose us in him, before the foundation of the world,to be holy and without blemish before him. In love he destined us for adoption to himself through Jesus Christ,in accord with the favor of his will,for the praise of the glory of his gracethat he granted us in the beloved.In him we were also chosen,destined in accord with the purpose of the Onewho accomplishes all things according to the intention of his will,so that we might exist for the praise of his glory,we who first hoped in Christ.Alleluia See Lk 1:28R. Alleluia, alleluia.Hail, Mary, full of grace, the Lord is with you;blessed are you among women.R. Alleluia, alleluia.","The angel Gabriel was sent from Godto a town of Galilee called Nazareth,to a virgin betrothed to a man named Joseph,of the house of David,and the virgin's name was Mary.And coming to her, he said,""Hail, full of grace! The Lord is with you.""But she was greatly troubled at what was saidand pondered what sort of greeting this might be.Then the angel said to her,""Do not be afraid, Mary,for you have found favor with God.Behold, you will conceive in your womb and bear a son,and you shall name him Jesus.He will be great and will be called Son of the Most High,and the Lord God will give him the throne of David his father,and he will rule over the house of Jacob forever,and of his Kingdom there will be no end.""But Mary said to the angel,""How can this be,since I have no relations with a man?""And the angel said to her in reply,""The Holy Spirit will come upon you,and the power of the Most High will overshadow you.Therefore the child to be bornwill be called holy, the Son of God.And behold, Elizabeth, your relative,has also conceived a son in her old age,and this is the sixth month for her who was called barren;for nothing will be impossible for God.""Mary said, ""Behold, I am the handmaid of the Lord.May it be done to me according to your word.""Then the angel departed from her."
